Id,SalePrice
1461,126636.45993599016
1462,155559.9208279597
1463,183775.59267305172
1464,184555.97451177117
1465,186919.89070770028
1466,181564.6255419302
1467,176497.6274021015
1468,172512.41419534877
1469,176000.38703247116
1470,121004.15262328777
1471,197147.90142649904
1472,93752.84780576361
1473,98462.16229223991
1474,152346.70873646467
1475,125736.06578741308
1476,364647.06083345524
1477,248001.2760723383
1478,295674.9964138821
1479,271991.95437497005
1480,479201.96147120313
1481,304815.1129871381
1482,210655.52549679772
1483,175670.152082265
1484,162982.7177357039
1485,174145.44738708582
1486,193736.78170379106
1487,305555.65627210273
1488,227933.40474935967
1489,199994.66790470982
1490,218029.27021844566
1491,183990.58983640265
1492,97353.76842644272
1493,171439.21417179878
1494,294139.48613652313
1495,274852.2639558423
1496,235307.14707311834
1497,175803.3967745854
1498,157885.8531802879
1499,156555.47266170295
1500,154057.7821375678
1501,174177.01567168246
1502,152160.10400554698
1503,284649.88041541347
1504,233561.39506589895
1505,224719.6736702365
1506,182624.8135352461
1507,234516.0166613298
1508,197478.1543326131
1509,165700.01225031388
1510,151180.74531798784
1511,149426.60054126676
1512,165703.21724692135
1513,135775.12105549598
1514,150185.7817797728
1515,184019.38055535874
1516,152377.3327814922
1517,154447.96802049104
1518,121436.61640172542
1519,218456.568967606
1520,138747.6666474675
1521,141458.87025271013
1522,165645.67780627188
1523,114444.39446192706
1524,122595.64436996238
1525,127658.24813584657
1526,123519.93213695115
1527,99803.08762987221
1528,135163.83860437898
1529,146334.16945642108
1530,165829.49928593115
1531,110319.34293095296
1532,100440.74045975594
1533,138428.7278516601
1534,114506.96462290657
1535,161043.80471614198
1536,118955.66539901136
1537,65261.80425927261
1538,163523.8859816144
1539,189215.18175184343
1540,99826.1952886059
1541,150456.54340697572
1542,141926.53259119982
1543,204862.48125636103
1544,77416.91056579156
1545,104270.26429578364
1546,121798.5209092916
1547,136619.41735708364
1548,132585.4356169364
1549,111074.97015784463
1550,139577.39686696485
1551,111558.17938131063
1552,122553.56390592392
1553,144459.1976564558
1554,108185.90454465938
1555,181647.5961377846
1556,94999.05933562652
1557,113097.92657699721
1558,86438.2280334034
1559,94033.6461494642
1560,147908.86196875508
1561,121681.77902248125
1562,127627.79743907768
1563,120508.70357639367
1564,154650.6492223935
1565,146975.31043199508
1566,232330.4106084541
1567,68904.5845671914
1568,220781.55194516003
1569,125734.35867126558
1570,129800.83346733871
1571,118637.07509223894
1572,144604.29769278454
1573,234243.24058386765
1574,112940.54001368688
1575,213176.01352768973
1576,214639.37252190252
1577,194550.51463058984
1578,143415.43542490262
1579,142945.74777744274
1580,191201.0743604553
1581,145173.39020311926
1582,128791.1533135242
1583,338540.1980090886
1584,228014.61225573823
1585,142773.75181432135
1586,65825.18113378916
1587,101479.97999454643
1588,146487.2539417998
1589,95937.51982377731
1590,130188.67909453737
1591,98832.24169013125
1592,121199.40197322468
1593,122294.80779465809
1594,136087.14722893722
1595,114304.89577242444
1596,230359.0882298375
1597,183046.8290607017
1598,193447.47723279946
1599,176247.57414125223
1600,181174.75722806258
1601,64689.370029057536
1602,105850.21178682246
1603,87824.04208372238
1604,272041.43543569214
1605,226284.99177697353
1606,167960.3088106572
1607,157214.2696983996
1608,214014.96874070252
1609,187766.70900235875
1610,161413.03538774495
1611,135415.23738935764
1612,166825.67220665948
1613,164581.96077174615
1614,124911.47597416052
1615,86199.28132951229
1616,76161.10323967646
1617,90075.43578219396
1618,127036.54664529397
1619,136823.08989744322
1620,144463.15057776376
1621,142606.56142397597
1622,144138.2283318686
1623,277371.3954921496
1624,204968.37066342833
1625,120827.43780824257
1626,163189.43812233108
1627,187169.45478166823
1628,270860.6246733934
1629,174358.05180870503
1630,360749.7409346
1631,210801.84726679637
1632,234999.82624952932
1633,165528.4701239904
1634,182744.4986012049
1635,177841.3868716885
1636,160474.4646503069
1637,188051.62577326532
1638,203713.21884881874
1639,180538.704179393
1640,256586.29078886163
1641,179967.96637363348
1642,222361.26599346971
1643,219069.2673814756
1644,224570.2490628606
